Data Table for Daily Death Trends - The United States,,,,
Date generated: Fri Jan 21 2022 14:01:23 GMT-0800 (Pacific Standard Time),,,,
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Aug 15 2020,946,1057,0
United States,Aug 14 2020,1067,1071,0
United States,Aug 13 2020,1214,1107,0
United States,Aug 12 2020,1350,1108,0
United States,Aug 11 2020,1101,1096,0
United States,Aug 10 2020,825,1094,0
United States,Aug  9 2020,902,1104,0
United States,Aug  8 2020,1044,1106,0
United States,Aug  7 2020,1319,1118,0
United States,Aug  6 2020,1216,1129,0
United States,Aug  5 2020,1268,1160,0
United States,Aug  4 2020,1086,1144,0
United States,Aug  3 2020,893,1160,0
United States,Aug  2 2020,917,1168,0
United States,Aug  1 2020,1129,1174,0
United States,Jul 31 2020,1395,1177,0
United States,Jul 30 2020,1432,1170,0
United States,Jul 29 2020,1161,1146,0
United States,Jul 28 2020,1195,1150,0
United States,Jul 27 2020,951,1149,0
United States,Jul 26 2020,961,1140,0
United States,Jul 25 2020,1146,1137,0
United States,Jul 24 2020,1345,1116,0
United States,Jul 23 2020,1265,1080,0
United States,Jul 22 2020,1190,1053,0
United States,Jul 21 2020,1190,1045,0
United States,Jul 20 2020,886,1008,0
United States,Jul 19 2020,937,986,0
United States,Jul 18 2020,1000,973,0
United States,Jul 17 2020,1093,956,0
United States,Jul 16 2020,1081,936,0
United States,Jul 15 2020,1131,918,0
United States,Jul 14 2020,932,912,0
United States,Jul 13 2020,734,911,0
United States,Jul 12 2020,840,896,0
United States,Jul 11 2020,883,841,0
United States,Jul 10 2020,957,793,0
United States,Jul  9 2020,951,773,0
United States,Jul  8 2020,1089,737,0
United States,Jul  7 2020,929,694,0
United States,Jul  6 2020,627,652,0
United States,Jul  5 2020,457,630,0
United States,Jul  4 2020,541,627,0
United States,Jul  3 2020,817,632,0
United States,Jul  2 2020,704,616,0
United States,Jul  1 2020,784,618,0
United States,Jun 30 2020,636,604,0
United States,Jun 29 2020,477,619,0
United States,Jun 28 2020,434,622,0
United States,Jun 27 2020,575,620,0
United States,Jun 26 2020,702,620,0
United States,Jun 25 2020,718,626,1824
United States,Jun 24 2020,690,617,0
United States,Jun 23 2020,742,614,0
United States,Jun 22 2020,498,603,0
United States,Jun 21 2020,417,608,0
United States,Jun 20 2020,575,618,0
United States,Jun 19 2020,745,633,0
United States,Jun 18 2020,653,631,0
United States,Jun 17 2020,672,664,0
United States,Jun 16 2020,663,692,0
United States,Jun 15 2020,536,714,0
United States,Jun 14 2020,486,751,0
United States,Jun 13 2020,678,765,0
United States,Jun 12 2020,729,765,0
United States,Jun 11 2020,888,784,0
United States,Jun 10 2020,864,782,0
United States,Jun  9 2020,820,806,0
United States,Jun  8 2020,793,822,0
United States,Jun  7 2020,587,808,0
United States,Jun  6 2020,680,822,0
United States,Jun  5 2020,862,853,0
United States,Jun  4 2020,873,877,0
United States,Jun  3 2020,1030,925,0
United States,Jun  2 2020,931,962,0
United States,Jun  1 2020,695,947,0
United States,May 31 2020,687,944,0
United States,May 30 2020,897,962,0
United States,May 29 2020,1030,965,0
United States,May 28 2020,1209,1074,0
United States,May 27 2020,1285,1057,0
United States,May 26 2020,827,1069,0
United States,May 25 2020,676,1119,0
United States,May 24 2020,812,1161,0
United States,May 23 2020,919,1178,0
United States,May 22 2020,1791,1222,0
United States,May 21 2020,1094,1187,0
United States,May 20 2020,1368,1308,0
United States,May 19 2020,1178,1328,0
United States,May 18 2020,967,1379,0
United States,May 17 2020,929,1394,0
United States,May 16 2020,1228,1418,0
United States,May 15 2020,1548,1456,0
United States,May 14 2020,1942,1465,0
United States,May 13 2020,1510,1488,0
United States,May 12 2020,1534,1606,0
United States,May 11 2020,1072,1735,0
United States,May 10 2020,1094,1760,0
United States,May  9 2020,1496,1808,0
United States,May  8 2020,1612,1823,0
United States,May  7 2020,2103,1870,0
United States,May  6 2020,2337,1888,0
United States,May  5 2020,2434,1901,0
United States,May  4 2020,1248,1855,0
United States,May  3 2020,1429,1894,0
United States,May  2 2020,1603,1912,0
United States,May  1 2020,1938,1950,0
United States,Apr 30 2020,2232,1970,0
United States,Apr 29 2020,2423,1939,0
United States,Apr 28 2020,2115,1916,0
United States,Apr 27 2020,1518,1992,0
United States,Apr 26 2020,1559,2070,0
United States,Apr 25 2020,1866,2134,0
United States,Apr 24 2020,2082,2136,0
United States,Apr 23 2020,2015,2171,0
United States,Apr 22 2020,2257,2233,0
United States,Apr 21 2020,2651,2297,0
United States,Apr 20 2020,2062,2272,0
United States,Apr 19 2020,2010,2248,0
United States,Apr 18 2020,1878,2228,0
United States,Apr 17 2020,2326,2275,0
United States,Apr 16 2020,2451,2262,0
United States,Apr 15 2020,2706,2229,0
United States,Apr 14 2020,2474,2163,0
United States,Apr 13 2020,1896,2110,0
United States,Apr 12 2020,1867,2082,0
United States,Apr 11 2020,2208,2083,0
United States,Apr 10 2020,2237,1988,0
United States,Apr  9 2020,2217,1865,0
United States,Apr  8 2020,2245,1736,0
United States,Apr  7 2020,2103,1576,0
United States,Apr  6 2020,1700,1417,0
United States,Apr  5 2020,1871,1263,0
United States,Apr  4 2020,1548,1091,0
United States,Apr  3 2020,1377,950,0
United States,Apr  2 2020,1311,823,0
United States,Apr  1 2020,1124,684,0
United States,Mar 31 2020,988,566,0
United States,Mar 30 2020,627,455,0
United States,Mar 29 2020,665,389,0
United States,Mar 28 2020,562,311,0
United States,Mar 27 2020,486,247,0
United States,Mar 26 2020,337,191,0
United States,Mar 25 2020,302,153,0
United States,Mar 24 2020,212,119,0
United States,Mar 23 2020,161,92,0
United States,Mar 22 2020,123,72,0
United States,Mar 21 2020,111,57,0
United States,Mar 20 2020,93,43,0
United States,Mar 19 2020,69,32,0
United States,Mar 18 2020,64,23,0
United States,Mar 17 2020,27,15,0
United States,Mar 16 2020,21,12,0
United States,Mar 15 2020,19,10,0
United States,Mar 14 2020,13,8,0
United States,Mar 13 2020,11,7,0
United States,Mar 12 2020,7,6,0
United States,Mar 11 2020,12,5,0
United States,Mar 10 2020,7,4,0
United States,Mar  9 2020,4,3,0
United States,Mar  8 2020,4,3,0
United States,Mar  7 2020,5,3,0
United States,Mar  6 2020,3,2,0
United States,Mar  5 2020,3,2,0
United States,Mar  4 2020,2,1,0
United States,Mar  3 2020,3,1,0
United States,Mar  2 2020,6,1,0
United States,Mar  1 2020,0,0,0
United States,Feb 29 2020,1,0,0
United States,Feb 28 2020,0,0,0
United States,Feb 27 2020,1,0,0
United States,Feb 26 2020,0,0,0
United States,Feb 25 2020,0,0,0
United States,Feb 24 2020,0,0,0
United States,Feb 23 2020,0,0,0
United States,Feb 22 2020,0,0,0
United States,Feb 21 2020,0,0,0
United States,Feb 20 2020,0,0,0
United States,Feb 19 2020,0,0,0
United States,Feb 18 2020,0,0,0
United States,Feb 17 2020,0,0,0
United States,Feb 16 2020,0,0,0
United States,Feb 15 2020,0,0,0
United States,Feb 14 2020,0,0,0
United States,Feb 13 2020,0,0,0
United States,Feb 12 2020,0,0,0
United States,Feb 11 2020,0,0,0
United States,Feb 10 2020,0,0,0
United States,Feb  9 2020,0,0,0
United States,Feb  8 2020,0,0,0
United States,Feb  7 2020,0,0,0
United States,Feb  6 2020,0,0,0
United States,Feb  5 2020,0,0,0
United States,Feb  4 2020,0,0,0
United States,Feb  3 2020,0,0,0
United States,Feb  2 2020,0,0,0
United States,Feb  1 2020,0,0,0
United States,Jan 31 2020,0,0,0
United States,Jan 30 2020,0,0,0
United States,Jan 29 2020,0,0,0
